timestamp,kpi_value,anomaly_label
2014/4/1 0:00,0.0,0
2014/4/1 0:05,0.0,0
2014/4/1 0:10,0.0,0
2014/4/1 0:15,0.0,0
2014/4/1 0:20,0.0,0
2014/4/1 0:25,0.0,0
2014/4/1 0:30,0.0,0
2014/4/1 0:35,0.0,0
2014/4/1 0:40,0.0,0
2014/4/1 0:45,0.0,0
2014/4/1 0:50,0.0,0
2014/4/1 0:55,0.0,0
2014/4/1 1:00,0.0,0
2014/4/1 1:05,0.0,0
2014/4/1 1:10,0.0,0
2014/4/1 1:15,0.0,0
2014/4/1 1:20,0.0,0
2014/4/1 1:25,0.0,0
2014/4/1 1:30,0.0,0
2014/4/1 1:35,0.0,0
2014/4/1 1:40,0.0,0
2014/4/1 1:45,0.0,0
2014/4/1 1:50,0.0,0
2014/4/1 1:55,0.0,0
2014/4/1 2:00,0.0,0
2014/4/1 2:05,0.0,0
2014/4/1 2:10,0.0,0
2014/4/1 2:15,0.0,0
2014/4/1 2:20,0.0,0
2014/4/1 2:25,0.0,0
2014/4/1 2:30,0.0,0
2014/4/1 2:35,0.0,0
2014/4/1 2:40,0.0,0
2014/4/1 2:45,0.0,0
2014/4/1 2:50,0.0,0
2014/4/1 2:55,0.0,0
2014/4/1 3:00,0.0,0
2014/4/1 3:05,0.0,0
2014/4/1 3:10,0.0,0
2014/4/1 3:15,0.0,0
2014/4/1 3:20,0.0,0
2014/4/1 3:25,0.0,0
2014/4/1 3:30,0.0,0
2014/4/1 3:35,0.0,0
2014/4/1 3:40,0.0,0
2014/4/1 3:45,0.0,0
2014/4/1 3:50,0.0,0
2014/4/1 3:55,0.0,0
2014/4/1 4:00,0.0,0
2014/4/1 4:05,0.0,0
2014/4/1 4:10,0.0,0
2014/4/1 4:15,0.0,0
2014/4/1 4:20,0.0,0
2014/4/1 4:25,0.0,0
2014/4/1 4:30,0.0,0
2014/4/1 4:35,0.0,0
2014/4/1 4:40,0.0,0
2014/4/1 4:45,0.0,0
2014/4/1 4:50,0.0,0
2014/4/1 4:55,0.0,0
2014/4/1 5:00,0.0,0
2014/4/1 5:05,0.0,0
2014/4/1 5:10,0.0,0
2014/4/1 5:15,0.0,0
2014/4/1 5:20,0.0,0
2014/4/1 5:25,0.0,0
2014/4/1 5:30,0.0,0
2014/4/1 5:35,0.0,0
2014/4/1 5:40,0.0,0
2014/4/1 5:45,0.146559802,0
2014/4/1 5:50,0.154264464,0
2014/4/1 5:55,0.0,0
2014/4/1 6:00,0.0,0
2014/4/1 6:05,0.0,0
2014/4/1 6:10,0.0,0
2014/4/1 6:15,0.0,0
2014/4/1 6:20,0.0,0
2014/4/1 6:25,0.0,0
2014/4/1 6:30,0.0,0
2014/4/1 6:35,0.0,0
2014/4/1 6:40,0.0,0
2014/4/1 6:45,0.0,0
2014/4/1 6:50,0.0,0
2014/4/1 6:55,0.0,0
2014/4/1 7:00,0.0,0
2014/4/1 7:05,0.0,0
2014/4/1 7:10,0.0,0
2014/4/1 7:15,0.0,0
2014/4/1 7:20,0.0,0
2014/4/1 7:25,0.0,0
2014/4/1 7:30,0.0,0
2014/4/1 7:35,0.0,0
2014/4/1 7:40,0.0,0
2014/4/1 7:45,0.0,0
2014/4/1 7:50,0.0,0
2014/4/1 7:55,0.0,0
2014/4/1 8:00,0.0,0
2014/4/1 8:05,0.0,0
2014/4/1 8:10,0.249211629,0
2014/4/1 8:15,0.225824439,0
2014/4/1 8:20,0.0,0
2014/4/1 8:25,0.0,0
2014/4/1 8:30,0.0,0
2014/4/1 8:35,0.0,0
2014/4/1 8:40,0.0,0
2014/4/1 8:45,0.0,0
2014/4/1 8:50,0.0,0
2014/4/1 8:55,0.0,0
2014/4/1 9:00,0.0,0
2014/4/1 9:05,0.0,0
2014/4/1 9:10,0.0,0
2014/4/1 9:15,0.0,0
2014/4/1 9:20,0.0,0
2014/4/1 9:25,0.0,0
2014/4/1 9:30,0.0,0
2014/4/1 9:35,0.0,0
2014/4/1 9:40,0.0,0
2014/4/1 9:45,0.0,0
2014/4/1 9:50,0.0,0
2014/4/1 9:55,0.0,0
2014/4/1 10:00,0.0,0
2014/4/1 10:05,0.0,0
2014/4/1 10:10,0.0,0
2014/4/1 10:15,0.0,0
2014/4/1 10:20,0.0,0
2014/4/1 10:25,0.0,0
2014/4/1 10:30,0.0,0
2014/4/1 10:35,0.0,0
2014/4/1 10:40,0.0,0
2014/4/1 10:45,0.0,0
2014/4/1 10:50,0.0,0
2014/4/1 10:55,0.0,0
2014/4/1 11:00,0.0,0
2014/4/1 11:05,0.0,0
2014/4/1 11:10,0.0,0
2014/4/1 11:15,0.0,0
2014/4/1 11:20,0.0,0
2014/4/1 11:25,0.0,0
2014/4/1 11:30,0.0,0
2014/4/1 11:35,0.0,0
2014/4/1 11:40,0.0,0
2014/4/1 11:45,0.0,0
2014/4/1 11:50,0.0,0
2014/4/1 11:55,0.0,0
2014/4/1 12:00,0.0,0
2014/4/1 12:05,0.0,0
2014/4/1 12:10,0.0,0
2014/4/1 12:15,0.0,0
2014/4/1 12:20,0.0,0
2014/4/1 12:25,0.0,0
2014/4/1 12:30,0.0,0
2014/4/1 12:35,0.0,0
2014/4/1 12:40,0.0,0
2014/4/1 12:45,0.0,0
2014/4/1 12:50,0.128654125,0
2014/4/1 12:55,0.159083326,0
2014/4/1 13:00,0.0,0
2014/4/1 13:05,0.0,0
2014/4/1 13:10,0.0,0
2014/4/1 13:15,0.0,0
2014/4/1 13:20,0.0,0
2014/4/1 13:25,0.0,0
2014/4/1 13:30,0.0,0
2014/4/1 13:35,0.0,0
2014/4/1 13:40,0.0,0
2014/4/1 13:45,0.0,0
2014/4/1 13:50,0.0,0
2014/4/1 13:55,0.0,0
2014/4/1 14:00,0.0,0
2014/4/1 14:05,0.0,0
2014/4/1 14:10,0.0,0
2014/4/1 14:15,0.0,0
2014/4/1 14:20,0.0,0
2014/4/1 14:25,0.0,0
2014/4/1 14:30,0.0,0
2014/4/1 14:35,0.0,0
2014/4/1 14:40,0.0,0
